Marker,X,Y,Z,ID,PartnerID,Volume,Partner.Volume,Pair.Volume,PairID,Pair.Distance
glur,33.1157,70.1925,7.77575,70,71,0.312815,0.377322,0.690137,7170,0.232481776
glur,43.1648,66.0033,7.01743,73,72,0.768321,0.541722,1.310043,7273,0.183642441
glur,40.6771,69.9253,6.92023,74,73,0.502511,0.352041,0.854552,7374,0.192082567
glur,34.8008,71.4031,6.73727,16,75,1.03054,0.866616,1.897156,7516,0.156957768
glur,45.2374,63.9602,7.07807,72,76,0.800815,0.286862,1.087677,7672,0.161624644
glur,40.9147,66.0698,6.69088,77,77,0.329768,0.372508,0.702276,7777,0.434546161
glur,24.1253,64.1652,8.40675,75,78,0.739036,0.17405,0.913086,7875,0.193643416
glur,38.896,70.3553,6.16583,76,79,0.334091,0.350485,0.684576,7976,0.194859392
glur,36.8842,70.9185,5.9532,108,80,0.616562,0.432524,1.049086,80108,0.278960672
glur,29.0807,62.2016,8.00219,78,81,1.06115,0.380278,1.441428,8178,0.220696045
glur,21.2009,66.6656,8.02132,79,82,0.745635,0.0830111,0.8286461,8279,0.232316191
glur,23.7316,71.2096,8.22596,80,83,0.405699,0.213048,0.618747,8380,0.231326223
glur,30.6,71.5178,5.97771,86,84,0.378881,0.429181,0.808062,8486,0.123320811
glur,28.2753,71.8703,6.99957,19,85,0.549364,0.181393,0.730757,8519,0.148479018
glur,28.2425,70.5193,7.26112,82,86,0.645933,0.193167,0.8391,8682,0.102698512
glur,28.6604,66.3143,6.57066,81,87,0.689638,0.288109,0.977747,8781,0.205180927
glur,15.6164,65.9573,8.25059,83,88,0.761627,0.324571,1.086198,8883,0.097121234
glur,47.0574,71.9885,5.56477,88,89,0.812278,0.289611,1.101889,8988,0.303145053
glur,96.2414,67.0574,5.02686,89,90,0.707195,0.740984,1.448179,9089,0.42717727
glur,82.6819,69.4385,5.33977,91,91,1.00438,0.432909,1.437289,9191,0.360118563
glur,100.13,66.0513,4.47757,92,92,1.06732,0.367546,1.434866,9292,0.236314341
glur,91.4619,64.7912,4.37312,94,93,0.898651,0.467656,1.366307,9394,0.214624462
glur,78.9419,66.1996,4.45312,95,94,1.00857,0.512066,1.520636,9495,0.188369132
glur,86.9368,67.5594,4.35865,90,95,0.931238,0.407263,1.338501,9590,0.301797552
glur,73.9439,69.5626,5.12953,96,96,0.951797,0.0715394,1.0233364,9696,0.194978405
glur,81.1263,66.3911,3.92611,98,97,0.537317,0.410827,0.948144,9798,0.31703378
